,annee,Energie_recue,Energie_fournie,latitude,longitude,rendement_annuel,retour_énergétique
155,2016,1164431.66,165094.57985489268,43.0,-2,0.14178125305773007,9.827058324695994
156,2013,1269282.01,177886.40873846126,47.0,-2,0.1401472701393296,10.588476710622695
157,2014,1383309.1,191864.23142141278,47.0,-2,0.13869946450971282,11.420489965560284
158,2015,1337162.79,186207.46215147426,47.0,-2,0.13925564152998474,11.083777509016326
159,2016,1326987.11,185021.1714766502,47.0,-2,0.1394295167468885,11.013164968848226
160,2013,1211975.04,170861.52837751177,47.5,-2,0.14097776170168633,10.170329070089986
161,2014,1335947.34,186058.46821871676,47.5,-2,0.1392708100445911,11.074908822542664
162,2015,1279257.26,179109.20830054878,47.5,-2,0.14001031215609344,10.661262398842188
163,2016,1249321.9,175500.7098563967,47.5,-2,0.14047677372532788,10.446470824785518
164,2013,1173455.22,166139.63980051476,48.0,-2,0.1415815763302112,9.889264273840164
165,2014,1265964.85,177479.78015317526,48.0,-2,0.14019329221753293,10.564272628165194
166,2015,1238369.57,174097.05828658727,48.0,-2,0.14058570438434406,10.362920136106386
167,2016,1201869.18,169683.79647218468,48.0,-2,0.1411832496380219,10.100225980487183
168,2013,1144548.64,162596.17438707178,48.5,-2,0.14206139320306369,9.678343713516178
169,2014,1239981.61,174294.66755012126,48.5,-2,0.14056230039582704,10.374682592269123
170,2015,1221509.05,172030.23926224528,48.5,-2,0.14083419133263506,10.239895194181267
171,2016,1226249.8699999999,172672.4631276962,48.5,-2,0.1408134405165696,10.278122805220011
172,2013,1022889.8,147682.82622275778,51.0,-2,0.14437804172331933,8.790644418021296
173,2014,1135819.04,161526.0707749118,51.0,-2,0.14221109621028344,9.614647069935225
174,2015,1071384.11,153627.42119849627,51.0,-2,0.1433915434852737,9.14448935705335
175,2016,1016154.25,146918.23820776917,51.0,-2,0.1445826145073636,8.745133226652927
176,2013,1002754.3,145214.54917883276,51.5,-2,0.14481568334220332,8.643723165406712
177,2014,1098659.64,156970.94703892176,51.5,-2,0.1428749553764638,9.34350875231677
178,2015,1051951.7,151245.3312821228,51.5,-2,0.14377592743290665,9.002698290602547
179,2016,1020365.64,147434.48450212568,51.5,-2,0.14449181619064091,8.775862172745576
180,2013,966337.32,140750.47118478947,52.0,-2,0.14565356037867758,8.378004237189849
181,2014,1068402.84,153262.00454588147,52.0,-2,0.14344964165939644,9.122738365826278
182,2015,1036306.93,149327.58037678298,52.0,-2,0.1440959006003974,8.888546450998987
183,2016,1023497.95,147818.49106890045,52.0,-2,0.14442480424010665,8.798719706482169
184,2013,935200.75,136933.64612668,52.5,-2,0.14642165987001185,8.150812269445238
185,2014,1025553.57,148009.39748422697,52.5,-2,0.14432146873051885,8.810083183584938
186,2015,1010587.52,146174.80893895947,52.5,-2,0.144643394110942,8.700881484461872
187,2016,994714.57,144290.12792417745,52.5,-2,0.14505681556888972,8.588698090724847
188,2013,1573321.51,215156.58918078628,41.0,-1,0.13675309707091354,12.80693983218966
189,2014,1640738.19,223420.75166106428,41.0,-1,0.1361708729782564,13.298854265539541
190,2015,1677317.59,227904.77705405426,41.0,-1,0.13587455256702713,13.565760538931801
191,2016,1623114.81,221321.49697044518,41.0,-1,0.1363560332312199,13.173898629193165
192,2013,1613505.96,220082.53367969376,41.5,-1,0.1364001987818463,13.100150814267487
193,2014,1675406.98,227670.56807971076,41.5,-1,0.1358897096630878,13.551819528554212
194,2015,1710152.35,231929.77193130026,41.5,-1,0.13561936276104306,13.805343567339301
195,2016,1601091.09,218621.7555933832,41.5,-1,0.13654548261422353,13.013199737701381
196,2013,1664207.76,226297.73017472378,42.0,-1,0.13597925428176333,13.470102986590701
197,2014,1677083.36,227876.06435598378,42.0,-1,0.13587640888404245,13.564051449760939
198,2015,1720877.24,233244.46487588176,42.0,-1,0.13553811942790397,13.883599099754868
199,2016,1629596.19,222116.00624346817,42.0,-1,0.1363012552474538,13.221190847825486
200,2013,1511274.8699999999,207550.70419334227,42.5,-1,0.13733484775892707,12.35420858293704
201,2014,1553751.98,212757.69063546078,42.5,-1,0.13693156525242903,12.66414825211076
202,2015,1647907.06,224299.53576137876,42.5,-1,0.1361117633426358,13.351162842939212
203,2016,1641595.22,223586.8875376187,42.5,-1,0.13620098597607924,13.308743305810637
204,2013,1282848.47,179549.43085290227,43.0,-1,0.13996152706398932,10.687466122196563
205,2014,1326940.81,184954.41759944128,43.0,-1,0.13938407516416748,11.009191523776266
206,2015,1413460.9,195560.34007394276,43.0,-1,0.13835567724154432,11.640496432972784
207,2016,1373230.69,190689.86442904317,43.0,-1,0.1388622216337469,11.350587168395426
208,2013,1244095.18,174798.92274118078,43.5,-1,0.14050285344018518,10.404697782213141
209,2014,1320075.93,184112.89761169328,43.5,-1,0.13947144510974704,10.959101048315075
210,2015,1356403.16,188566.01116131377,43.5,-1,0.13901914764140905,11.224167331030582
211,2016,1421921.97,196658.60464723117,43.5,-1,0.13830477958451629,11.70586932423995
212,2013,1263038.54,177121.06327023677,44.0,-1,0.14023409235812928,10.542920432752188
213,2014,1342809.57,186899.66336058726,44.0,-1,0.13918553124445432,11.124979961939719
214,2015,1374929.99,190837.09204759428,44.0,-1,0.13879767947137023,11.359350717118707
215,2016,1414724.01,195776.2545972652,44.0,-1,0.13838476848729328,11.653348487932451
216,2013,1307459.55,182566.33948642027,44.5,-1,0.1396344074173616,10.867044017048826
217,2014,1404971.74,194519.71040245678,44.5,-1,0.1384509772434688,11.578554190622427
218,2015,1408800.01,194988.99256376128,44.5,-1,0.13840785858864474,11.606487652604837
219,2016,1408794.43,195049.3868167722,44.5,-1,0.13845127625665882,11.610082548617392
220,2013,1286345.96,179978.16489369379,45.0,-1,0.13991427694435624,10.712986005577012
221,2014,1380835.8699999999,191561.05460269228,45.0,-1,0.13872833025600087,11.40244372635073
222,2015,1380296.78,191494.97114454076,45.0,-1,0.1387346358545738,11.398510187175045
223,2016,1397364.05,193648.21254459917,45.0,-1,0.1385810752356189,11.526679318130903
224,2013,1309217.11,182781.78707904628,46.0,-1,0.13961151720591725,10.879868278514659
225,2014,1427385.56,197267.27154435377,46.0,-1,0.1382018125112277,11.742099496687725
226,2015,1404426.16,194452.83137836377,46.0,-1,0.13845714136965648,11.574573296331177
227,2016,1294533.8,181042.93601826168,46.0,-1,0.13985184165779346,10.776365239182242
228,2013,1273812.05,178441.71621729527,46.5,-1,0.14008480781548208,10.621530727219957
229,2014,1381107.3,191594.32740138276,46.5,-1,0.1387251572715478,11.404424250082307
230,2015,1363790.81,189471.61404694128,46.5,-1,0.13893011498364713,11.278072264698885
231,2016,1278287.41,179051.39910665518,46.5,-1,0.14007131550067853,10.657821375396141
232,2013,1203199.72,169785.82025458978,47.0,-1,0.14111191802354292,10.106298824677964
233,2014,1312427.96,183175.38382839377,47.0,-1,0.13956985785977447,10.90329665645201
234,2015,1310703.91,182964.04400382628,47.0,-1,0.13959220126521654,10.89071690498966
235,2016,1235688.01,173829.42194666518,47.0,-1,0.14067419974938916,10.346989401587214
236,2013,1196880.51,169011.19032343628,47.5,-1,0.141209743922922,10.060189900204541
237,2014,1311209.69,183026.04421058926,47.5,-1,0.1395856403490957,10.894407393487455
238,2015,1297399.27,181333.11666208226,47.5,-1,0.13976662455042252,10.793637896552516
239,2016,1215649.11,171372.98645435018,47.5,-1,0.1409724114011404,10.20077300323513
240,2013,1169294.88,165629.65138617577,48.0,-1,0.14164917183779663,9.858907820605701
241,2014,1265409.8699999999,177411.74884559226,48.0,-1,0.14020101553782907,10.560223145570967
242,2015,1262883.19,177102.01994681428,48.0,-1,0.1402362636142257,10.541786901596089
243,2016,1159984.24,164549.4002124357,48.0,-1,0.14185485848707366,9.794607155502124
244,2013,1102692.53,157465.3122053033,48.5,-1,0.1428007426560723,9.372935250315672
245,2014,1201541.39,169582.53660778428,48.5,-1,0.14113749057598782,10.094198607606208
246,2015,1197766.9,169119.84697904278,48.5,-1,0.14119595973059765,10.066657558276356
247,2016,1167390.64,165457.30153587568,48.5,-1,0.14173259221598325,9.848648900944982
248,2013,1074509.46,154010.53707141877,49.0,-1,0.14333102015818341,9.167293873298737
249,2014,1183102.71,167322.26144380626,49.0,-1,0.14142665723739764,9.959658419274183
250,2015,1164954.44,165097.58571050176,49.0,-1,0.14172020814007263,9.827237244672723
251,2016,1153340.5,163734.98830670668,49.0,-1,0.1419658707092196,9.746130256351588
252,2013,1053279.24,151408.06558258177,51.0,-1,0.1437492165729781,9.012384856106058
253,2014,1158522.48,164309.13450663578,51.0,-1,0.14182645338624397,9.780305625394986
254,2015,1106157.47,157890.05615805226,51.0,-1,0.14273741346975877,9.398217628455491
255,2016,1038467.68,149653.49320715968,51.0,-1,0.14410991895978859,8.907946024235695
256,2013,995193.11,144287.67317864628,51.5,-1,0.14498459819385837,8.58855197491942
257,2014,1101433.2,157310.93931514779,51.5,-1,0.14282385832853758,9.363746387806415
258,2015,1058487.86,152046.55567105877,51.5,-1,0.1436450633180231,9.050390218515403
259,2016,1021372.33,147557.8879347372,51.5,-1,0.1444702226608559,8.783207615162928
260,2013,977377.48,142103.81098212546,52.0,-1,0.14539296626941461,8.458560177507469
261,2014,1091289.67,156067.54883816198,52.0,-1,0.1430120279963449,9.289735049890593
262,2015,1047313.93,150676.855310233,52.0,-1,0.1438698092273374,8.968860435132916
263,2016,1026611.8,148200.19723329795,52.0,-1,0.14435855620722257,8.82144031150583
264,2013,974165.63,141710.09164942798,52.5,-1,0.14546817018110975,8.435124502942141
265,2014,1059435.16,152162.71628975347,52.5,-1,0.1436262661791907,9.057304541056755
266,2015,1056275.64,151775.41174376148,52.5,-1,0.143689209517093,9.034250699033421
267,2016,999614.29,144890.75201583945,52.5,-1,0.14494665939183346,8.624449524752348
268,2013,1622074.42,221132.88421083477,41.0,0,0.1363272125398752,13.162671679216356
269,2014,1677772.13,227960.49608996327,41.0,0,0.13587095173047326,13.569077148212099
270,2015,1696384.16,230242.02107766375,41.0,0,0.13572516562384299,13.704882207003795
271,2016,1729537.05,234367.09166414916,41.0,0,0.13550856957019172,13.950422122866021
272,2013,1728954.18,234234.56323883077,41.5,0,0.13547760024434585,13.94253352612088
273,2014,1713992.05,232400.45522029526,41.5,0,0.13559015937109817,13.83336042977948
274,2015,1716859.61,232751.97033142127,41.5,0,0.13556843493535342,13.854283948298885
275,2016,1744641.3599999999,236218.62858338768,41.5,0,0.1353966689081518,14.060632653773077
276,2013,1749453.97,236747.49617132728,42.0,0,0.13532650771676336,14.092112867340909
277,2014,1739426.77,235518.32840420728,42.0,0,0.13539996765957976,14.018948119298052
278,2015,1750070.15,236823.02957993027,42.0,0,0.13532202099437574,14.096608903567278
279,2016,1705691.98,231444.08310256468,42.0,0,0.13568926032152925,13.776433518009803
280,2013,1497562.32,205869.77387729977,42.5,0,0.1374699210362743,12.25415320698213
281,2014,1474014.22,202983.16889316478,42.5,0,0.13770774130874042,12.082331481735999
282,2015,1540849.95,211176.11657626028,42.5,0,0.137051707452929,12.570006939063111
283,2016,1553147.21,212744.63417098517,42.5,0,0.13697647769716895,12.66337108160626
284,2013,1120470.78,159644.62964744077,43.0,0,0.14247995797573657,9.502656526633379
285,2014,1199919.31,169383.69660741626,43.0,0,0.14116257251282693,10.082362893298587
286,2015,1280988.26,179321.40007939877,43.0,0,0.13998676309445549,10.673892861868975
287,2016,1300981.99,181833.3767498982,43.0,0,0.13976625206771556,10.823415282732036
288,2013,1313208.54,183271.06993973677,43.5,0,0.1395597609651067,10.908992258317666
289,2014,1388210.1199999999,192465.01487142977,43.5,0,0.13864256721556661,11.456250885204152
290,2015,1404024.2,194403.55777499778,43.5,0,0.13846168589900215,11.571640343749868
291,2016,1340136.58,186633.07755997468,43.5,0,0.13926422153178944,11.109111759522303
292,2013,1279650.06,179157.35904042877,44.0,0,0.1400049627946165,10.664128514311237
293,2014,1372538.04,190543.87880356176,44.0,0,0.13882593651361513,11.341897547831056
294,2015,1410245.66,195166.20518368878,44.0,0,0.1383916368043911,11.617036022838619
295,2016,1382949.3,191881.20420018668,44.0,0,0.13874782264265703,11.421500250011112
296,2013,1308349.39,182675.41905458426,44.5,0,0.13962281058164766,10.873536848487158
297,2014,1400862.48,194015.98354563577,44.5,0,0.1384975230014268,11.548570449144986
298,2015,1419344.42,196281.56166533477,44.5,0,0.1382902971960356,11.68342628960326
299,2016,1369565.65,190240.5915479592,44.5,0,0.13890578487271435,11.323844734997571
300,2013,1286586.66,180007.67070603877,45.0,0,0.13991103460223875,10.71474230393088
301,2014,1369679.17,190193.42894174726,45.0,0,0.1388598389371339,11.321037437008766
302,2015,1390929.84,192798.40726009177,45.0,0,0.13861116622538758,11.476095670243557
303,2016,1339465.61,186550.8278096252,45.0,0,0.1392725773748123,11.104215941049118
304,2013,1259722.93,176714.62468914327,45.5,0,0.14028054938171466,10.518727660068052
305,2014,1368368.84,190032.80430074176,45.5,0,0.13887542506502978,11.311476446472724
306,2015,1376262.44,191000.42823230178,45.5,0,0.13878198131477146,11.369073109065582
307,2016,1275196.6,178672.5172626417,45.5,0,0.1401137026734871,10.635268884681054
308,2013,1254964.5,176131.32039900278,46.0,0,0.14034765158616264,10.48400716660731
309,2014,1361387.68,189177.03032105576,46.0,0,0.13895897039486635,11.260537519110462
310,2015,1355976.73,188513.73794337327,46.0,0,0.1390243164006017,11.221055829962694
311,2016,1277554.86,178961.60067361267,46.0,0,0.14008134310068895,10.652476230572184
312,2013,1223255.18,172244.28572718077,46.5,0,0.14080813925282604,10.252636055189331
313,2014,1343900.3699999999,187033.37727876726,46.5,0,0.1391720557966416,11.132939123736147
314,2015,1347578.26,187484.22535589876,46.5,0,0.13912678092320868,11.159775318803497
315,2016,1252042.14,175834.1659884007,46.5,0,0.14043789771197374,10.46631940407147
316,2013,1198374.58,169194.33842917078,47.0,0,0.14118652152081762,10.071091573164928
317,2014,1323886.36,184579.99288603378,47.0,0,0.13942283753571852,10.986904338454393
318,2015,1330512.4,185392.23506646778,47.0,0,0.13933897577088933,11.035252087289749
319,2016,1239150.81,174253.90357104517,47.0,0,0.14062364497106303,10.372256164943165
320,2013,1171632.63,165916.22061263828,47.5,0,0.14161112994321293,9.875965512657041
321,2014,1287314.94,180096.94570817676,47.5,0,0.13990123171271265,10.720056292153378
